sub,run,bdc-bdcp,bdc-bdrp,bdc-bmtl_dennis,bdc-mni_zfclus1_lifg,bdc-mni_zfclus1_lins,bdc-mni_zfclus2,bdc-mni_zfclus3,bdc-mni_zfclus4_brainstem_aan_dr,bdc-mni_zfclus4_brainstem_aan_ppn,bdc-mni_zfclus4_brainstem,bdc-mni_zfclus4_parahipp,bdc-mni_zfclus5,bdc-mni_zfclus6,bdcp-bdrp,bdcp-bmtl_dennis,bdcp-mni_zfclus1_lifg,bdcp-mni_zfclus1_lins,bdcp-mni_zfclus2,bdcp-mni_zfclus3,bdcp-mni_zfclus4_brainstem_aan_dr,bdcp-mni_zfclus4_brainstem_aan_ppn,bdcp-mni_zfclus4_brainstem,bdcp-mni_zfclus4_parahipp,bdcp-mni_zfclus5,bdcp-mni_zfclus6,bdrp-bmtl_dennis,bdrp-mni_zfclus1_lifg,bdrp-mni_zfclus1_lins,bdrp-mni_zfclus2,bdrp-mni_zfclus3,bdrp-mni_zfclus4_brainstem_aan_dr,bdrp-mni_zfclus4_brainstem_aan_ppn,bdrp-mni_zfclus4_brainstem,bdrp-mni_zfclus4_parahipp,bdrp-mni_zfclus5,bdrp-mni_zfclus6,bmtl_dennis-mni_zfclus1_lifg,bmtl_dennis-mni_zfclus1_lins,bmtl_dennis-mni_zfclus2,bmtl_dennis-mni_zfclus3,bmtl_dennis-mni_zfclus4_brainstem_aan_dr,bmtl_dennis-mni_zfclus4_brainstem_aan_ppn,bmtl_dennis-mni_zfclus4_brainstem,bmtl_dennis-mni_zfclus4_parahipp,bmtl_dennis-mni_zfclus5,bmtl_dennis-mni_zfclus6,mni_zfclus1_lifg-mni_zfclus1_lins,mni_zfclus1_lifg-mni_zfclus2,mni_zfclus1_lifg-mni_zfclus3,mni_zfclus1_lifg-mni_zfclus4_brainstem_aan_dr,mni_zfclus1_lifg-mni_zfclus4_brainstem_aan_ppn,mni_zfclus1_lifg-mni_zfclus4_brainstem,mni_zfclus1_lifg-mni_zfclus4_parahipp,mni_zfclus1_lifg-mni_zfclus5,mni_zfclus1_lifg-mni_zfclus6,mni_zfclus1_lins-mni_zfclus2,mni_zfclus1_lins-mni_zfclus3,mni_zfclus1_lins-mni_zfclus4_brainstem_aan_dr,mni_zfclus1_lins-mni_zfclus4_brainstem_aan_ppn,mni_zfclus1_lins-mni_zfclus4_brainstem,mni_zfclus1_lins-mni_zfclus4_parahipp,mni_zfclus1_lins-mni_zfclus5,mni_zfclus1_lins-mni_zfclus6,mni_zfclus2-mni_zfclus3,mni_zfclus2-mni_zfclus4_brainstem_aan_dr,mni_zfclus2-mni_zfclus4_brainstem_aan_ppn,mni_zfclus2-mni_zfclus4_brainstem,mni_zfclus2-mni_zfclus4_parahipp,mni_zfclus2-mni_zfclus5,mni_zfclus2-mni_zfclus6,mni_zfclus3-mni_zfclus4_brainstem_aan_dr,mni_zfclus3-mni_zfclus4_brainstem_aan_ppn,mni_zfclus3-mni_zfclus4_brainstem,mni_zfclus3-mni_zfclus4_parahipp,mni_zfclus3-mni_zfclus5,mni_zfclus3-mni_zfclus6,mni_zfclus4_brainstem_aan_dr-mni_zfclus4_brainstem_aan_ppn,mni_zfclus4_brainstem_aan_dr-mni_zfclus4_brainstem,mni_zfclus4_brainstem_aan_dr-mni_zfclus4_parahipp,mni_zfclus4_brainstem_aan_dr-mni_zfclus5,mni_zfclus4_brainstem_aan_dr-mni_zfclus6,mni_zfclus4_brainstem_aan_ppn-mni_zfclus4_brainstem,mni_zfclus4_brainstem_aan_ppn-mni_zfclus4_parahipp,mni_zfclus4_brainstem_aan_ppn-mni_zfclus5,mni_zfclus4_brainstem_aan_ppn-mni_zfclus6,mni_zfclus4_brainstem-mni_zfclus4_parahipp,mni_zfclus4_brainstem-mni_zfclus5,mni_zfclus4_brainstem-mni_zfclus6,mni_zfclus4_parahipp-mni_zfclus5,mni_zfclus4_parahipp-mni_zfclus6,mni_zfclus5-mni_zfclus6
100,0,0.28293,0.38152,0.001953,-0.011079,0.17826,0.55306,0.29277,0.013983,0.0018278,-0.02485,-0.32489,0.13802,0.33371,1.0043,-0.05741,-0.1146,0.26365,0.19918,-0.011501,0.33416,-0.056444,0.31834,-0.184,0.014679,0.14166,0.067687,-0.22496,0.22792,0.2472,-0.063228,0.39733,-0.041462,0.35152,-0.19581,-0.018787,0.045359,-0.12704,-0.21034,0.097939,0.12601,0.056088,0.12034,-0.012572,0.15145,0.091051,0.16896,0.22997,-0.16114,0.10794,-0.19978,0.063788,-0.20787,-0.088174,-0.046984,0.093501,-0.036646,-0.00095012,-0.039632,-0.22906,-0.028454,-0.12123,-0.14104,-0.088766,0.44295,0.38252,0.27532,0.36556,-0.28382,0.11208,0.24956,0.015652,-0.12039,-0.12045,-0.2799,0.30185,0.67207,0.59357,1.4284,-0.11605,0.27849,0.26998,0.71575,0.062845,0.070821,0.11707,-0.039553,0.07747,0.092863,0.25531,-0.14993,0.89887
100,1,0.055809,0.36004,-0.13848,-0.33013,0.12072,0.14655,0.027909,0.045462,0.084087,0.17477,-0.34909,-0.29138,-0.088552,0.96619,0.3192,0.33781,-0.29873,0.34872,0.44102,0.051981,-0.19996,-0.07847,0.062902,0.14394,0.30356,0.23422,0.044156,-0.28064,0.57136,0.58451,0.008429,-0.1752,-0.032981,0.038691,0.13859,0.27553,0.18656,-0.12955,0.17756,0.32076,-0.022468,0.11418,-0.028701,0.21047,0.17199,0.51625,0.052997,0.22724,0.19704,-0.14214,-0.0059638,-0.02536,-0.15967,0.26535,0.20899,-0.4894,-0.64318,0.27942,0.64378,0.38234,-0.3901,-0.31693,-0.18229,0.83703,0.032708,-0.14117,-0.0093921,0.21395,0.40153,0.45985,-0.20703,-0.34967,-0.18815,0.32183,0.71677,0.82525,0.81941,1.1849,0.011115,-0.32983,-0.16318,0.99934,-0.096461,-0.41156,-0.036132,-0.022334,-0.31547,-0.15836,0.4239,0.23485,0.69386
100,2,-0.21413,-0.16966,-0.24869,-0.35534,0.208,0.18032,0.052392,-0.19943,-0.12746,-0.17116,-0.10104,0.10994,0.31154,1.2082,-0.083048,0.032939,0.030373,-0.37843,-0.44409,-0.024935,-0.090918,-0.2033,0.076518,-0.18587,-0.35939,-0.013656,0.098245,0.2086,-0.34577,-0.38563,-0.013978,-0.091121,-0.11771,-0.10536,-0.075076,-0.3612,-0.12212,0.35394,-0.17033,0.5084,0.32769,0.24327,0.40674,0.25284,0.18542,0.16009,-0.047066,0.13914,-0.091098,0.29759,0.18209,0.23138,-0.069239,-0.14335,-0.33092,-0.070932,0.1033,0.080787,0.04376,0.10187,0.0052256,0.078852,0.077919,0.53539,0.039711,-0.051372,-0.032001,-0.10163,0.50499,0.37567,0.18819,0.14098,0.17889,0.15631,0.5219,0.60916,0.71463,1.0976,0.00050851,-0.14409,-0.18331,1.245,-0.11256,-0.12557,-0.097446,-0.034887,-0.083648,-0.098292,0.16188,0.23933,0.89496
100,4,0.094889,0.58643,0.064486,-0.10421,0.14465,0.1627,0.40055,-0.066814,0.22312,0.19446,0.059576,-0.068081,0.24329,0.79828,0.20145,-0.093687,-0.071275,-0.089987,-0.19726,0.012393,-0.20798,0.053649,0.076879,0.0064404,0.12061,0.34479,-0.28221,-0.082846,0.070982,0.13071,0.1525,-0.015199,0.28921,0.24256,0.010148,0.15835,-0.30069,-0.18207,0.25937,0.28865,0.082324,0.018671,0.2702,0.58227,0.17597,0.094602,0.42664,0.042341,-0.17436,-0.39611,0.081946,-0.45155,-0.53896,-0.36222,0.20738,-0.096242,-0.16683,0.20369,0.4851,0.31858,-0.14498,-0.39644,-0.12992,0.6748,-0.18502,0.063273,-0.036818,0.15515,0.39046,0.27393,-0.10496,0.15272,0.086374,0.36039,0.36146,0.28464,0.53184,1.0429,0.3669,-0.050959,-0.27454,0.7755,0.079053,-0.01811,-0.12911,0.46008,-0.024818,-0.23442,0.28659,-0.051955,0.39666
100,5,0.28493,0.79296,0.071364,-0.21179,-0.017182,-0.079421,-0.11002,-0.049961,0.080046,0.10385,0.19848,-0.1884,-0.11929,0.88512,-0.2304,0.057802,0.054431,-0.14008,-0.042446,-0.33283,-0.046212,-0.19594,0.12392,0.023638,-0.014156,0.043233,-0.1896,-0.031275,0.0099889,-0.011067,-0.19578,0.15778,0.031003,0.26637,-0.26049,-0.15967,-0.12785,0.099141,0.015153,-0.13791,0.17918,0.23176,0.20012,0.25634,-0.59397,-0.34163,0.36918,0.055645,0.30948,-0.18744,-0.12202,-0.14468,-0.089166,0.47972,0.34367,0.18707,0.16008,0.018469,-0.0037008,0.04357,0.0016592,-0.042343,-0.15781,0.5858,-0.0091895,0.026222,0.067121,0.081145,0.086706,0.087475,-0.14367,0.036643,-0.036668,0.081891,0.1289,0.38145,0.60801,1.1941,0.56722,-0.2924,-0.34754,1.1978,0.43555,-0.4923,-0.35513,0.65665,-0.45598,-0.4415,-0.47054,-0.39289,0.88333
100,6,-0.25568,0.10478,-0.059423,-0.029022,0.14986,-0.069623,0.026677,-0.028172,-0.030982,0.056892,-0.079104,0.045067,-0.078833,0.83747,-0.069964,0.053827,-0.18518,0.12268,0.10009,-0.12611,-0.06172,-0.21687,-0.17167,0.13524,0.15884,-0.14249,-0.069196,-0.10252,-0.012679,0.20097,-0.01231,-0.089065,-0.15293,-0.17729,0.14017,0.10552,0.2167,0.22575,-0.13604,-0.0070925,0.27247,0.35752,0.4289,0.44978,-0.030083,-0.21902,0.60643,0.025992,-0.020612,-0.11335,-0.045964,-0.060642,0.21672,0.016681,-0.20094,0.01556,0.15979,0.16347,-0.03124,0.20379,0.18171,0.10092,-0.012952,0.65961,0.009788,0.023989,-0.055677,0.12494,0.6979,0.66066,0.29418,0.063087,0.17695,0.34869,0.88434,0.63119,0.64159,1.3037,0.53007,0.1385,-0.0033421,1.0534,0.44942,-0.062542,-0.12836,0.58475,0.03279,-0.030954,0.27601,-0.017389,0.83828
102,0,0.22469,0.42906,0.12763,-0.13523,-0.12796,0.041686,-0.038059,0.012269,-0.0017224,0.033696,0.092395,-0.084297,-0.071127,0.678,0.037237,-0.02888,0.21729,-0.24536,-0.157,-0.037524,0.084151,0.11907,0.017433,-0.28863,-0.198,0.096906,-0.37846,0.18453,-0.26528,-0.18362,-0.19885,-0.10406,-0.10796,0.18858,-0.43615,-0.44731,-0.0064416,0.010441,-0.11883,0.16015,0.17241,0.15538,0.27361,0.27113,-0.12995,-0.21436,0.41721,0.25701,0.19977,0.15282,-0.084175,0.046792,-0.091247,0.51043,0.28621,0.11853,0.081707,0.21311,0.085842,0.29273,0.060316,-0.039172,-0.17336,0.85682,0.12468,-0.015401,0.03095,0.32594,0.66283,0.53186,0.1307,0.038255,0.1302,0.57323,0.26655,0.20589,0.50152,0.92568,-0.19915,-0.093999,0.10669,1.1203,-0.40112,-0.16021,0.098557,-0.18554,-0.21241,-0.028818,-0.0061429,-0.091042,1.0536
102,1,0.22507,0.50471,-0.2471,-0.25226,-0.03547,0.13619,0.076285,-0.39683,-0.31976,-0.41588,-0.23322,0.11554,0.11606,0.54837,-0.21843,0.10526,0.068026,-0.040369,-0.18391,-0.30764,-0.23333,-0.27514,-0.068996,0.12751,0.028716,-0.26433,-0.5174,-0.18599,0.17284,0.11187,-0.54869,-0.52696,-0.53371,-0.24447,0.12484,0.0062389,0.23666,0.24052,0.11086,0.16828,0.27794,0.25877,0.36145,0.43525,0.21926,0.23187,0.27972,0.027454,-0.095015,0.2768,0.25504,0.3013,0.30148,-0.01773,0.075383,-0.2578,-0.34998,0.27011,0.18635,0.28803,0.30368,-0.1006,-0.16236,1.1623,-0.3356,-0.32284,-0.37119,-0.074537,0.56681,0.65913,-0.3438,-0.39923,-0.36883,-0.12426,0.43941,0.68198,1.2044,1.574,0.4343,-0.45527,-0.33063,1.5219,0.4366,-0.24741,-0.14815,0.63139,-0.32693,-0.22031,0.13831,0.21658,1.2277
102,2,0.07482,0.59421,-0.037154,-0.050603,-0.05951,-0.042773,-0.021582,-0.29339,-0.13566,-0.26675,-0.14806,-0.14813,-0.061991,0.44537,0.29304,0.30633,0.21539,0.2115,0.060521,0.22485,0.25471,0.36714,0.40487,0.39257,0.34206,0.11295,-0.27618,-0.029454,-0.091401,-0.12078,-0.34953,-0.050796,-0.18147,-0.062308,0.10633,0.042624,0.23697,0.11375,-0.12187,-0.06078,0.31713,0.4916,0.62377,0.8653,0.22769,0.39675,0.53953,0.21751,0.10476,0.54703,0.49029,0.71195,0.46169,0.17586,0.15562,0.19085,0.27863,0.60138,0.67683,0.64183,0.4728,0.022378,0.13878,1.1651,0.23585,0.044479,0.18221,0.26028,0.26492,0.19929,0.27025,0.12371,0.13622,0.32789,0.2943,0.30173,0.81816,1.1899,0.8155,0.15451,0.22664,1.2948,0.6508,0.28411,0.35443,0.92085,0.26001,0.35692,0.31768,0.48228,0.93667
102,4,0.31454,0.47016,-0.29617,-0.12123,0.12754,0.23607,0.15049,-0.1806,-0.1702,-0.27774,-0.22983,-0.26462,-0.21929,0.62349,-0.17197,0.1838,0.093623,-0.029971,-0.097045,-0.039082,-0.25221,-0.054828,0.050819,-0.060811,0.056349,-0.33104,-0.31163,-0.27724,0.3122,0.22146,-0.41069,-0.4417,-0.49302,-0.12856,-0.072402,0.11251,0.45487,0.29559,-0.014806,0.01328,0.51074,0.41191,0.63881,0.89693,0.33456,0.35334,1.0283,0.020812,-0.078581,0.57513,0.24126,0.60229,0.48928,0.060805,0.0093679,0.087515,0.01794,0.45981,0.27486,0.46539,0.19926,-0.093098,-0.090213,1.0153,-0.21493,-0.18994,-0.26169,0.0031458,0.39572,0.3686,-0.33149,-0.2944,-0.33227,0.10033,0.35708,0.35813,0.8473,1.5566,0.46718,0.11337,-0.057116,1.0324,0.077709,-0.042753,-0.12382,0.55806,0.17844,0.027429,0.46687,0.42336,1.0872
102,5,0.48028,0.50663,-0.17623,-0.04357,0.22352,-0.11841,-0.056627,-0.13631,0.13903,0.09973,-0.14041,-0.12076,-0.15268,0.73187,0.10109,-0.0044031,0.1951,-0.000984,0.075221,-0.24662,-0.20045,-0.033819,0.21199,-0.12468,-0.18025,-0.11463,0.11882,0.17987,0.094223,0.074136,-0.22345,-0.27628,-0.059409,0.09561,-0.012415,-0.062627,0.20466,0.27918,0.20497,0.41742,-0.24868,-0.11389,-0.15029,0.59571,0.37329,0.24085,0.64782,0.0020729,-0.091261,0.051313,0.16681,0.22227,0.015176,-0.077541,0.088039,0.076444,-0.044244,-0.076141,0.078692,0.1293,0.013815,-0.021474,0.042761,0.92489,0.041816,0.10381,0.077114,0.33881,0.55534,0.47519,-0.0089886,0.016814,0.0079292,0.61061,0.72607,0.57222,0.77745,1.1727,-0.21016,-0.30956,-0.28393,1.1729,-0.077821,-0.15531,-0.24732,-0.041647,-0.22407,-0.26438,0.52092,0.39467,1.0872
102,6,0.032175,0.37656,0.44827,0.28657,0.54851,-0.012006,0.047124,0.13254,0.01899,0.0010162,-0.057869,-0.13132,0.02173,0.52062,-0.051584,0.054781,-0.032206,0.35605,0.13485,0.29473,0.025434,0.47849,0.49595,0.2187,0.14498,-0.051947,0.016952,0.1673,-0.01792,-0.07259,0.32609,0.17509,0.35186,0.059012,0.033188,0.037332,0.17596,0.35657,0.10912,0.22689,0.11782,0.42808,0.13654,0.21131,-0.13,-0.066794,0.83046,0.17476,0.081293,0.27781,0.097412,0.11761,0.11178,0.0036834,0.027482,-0.0032884,0.071499,0.11495,0.22868,-0.012314,-0.061331,-0.13061,-0.0011805,0.57899,0.15753,0.01602,0.23941,0.42674,0.62285,0.51551,0.098251,0.094495,0.039016,0.24296,0.40124,0.6142,0.55115,1.1331,0.5064,0.11056,0.17027,0.79373,0.3822,-0.025192,0.053492,0.78649,0.085257,0.072001,0.054388,0.027209,1.4152
106,0,0.35263,0.51639,-0.043262,-0.037838,-0.029612,0.14964,0.16278,0.085952,-0.30931,-0.10556,0.10941,-0.090152,-0.015949,1.1438,0.04522,-0.37063,-0.51366,0.31345,0.13745,0.13491,-0.17481,-0.045139,0.22993,0.11434,0.040228,0.11336,-0.15542,-0.20386,0.18073,0.1244,0.071798,-0.17675,-0.082441,0.20891,0.016711,-2.15E-05,0.17639,0.034362,0.022273,0.099772,-0.016465,0.27612,0.16358,0.45653,0.18912,-0.0090979,0.22379,-0.15118,0.074722,-0.27453,0.16621,-0.088701,-0.11174,-0.20457,-0.17063,-0.38737,-0.22967,-0.079117,0.11469,0.073867,-0.23571,-0.38544,-0.24298,0.77762,-0.28095,0.023231,-0.13604,0.40087,0.88923,0.62791,-0.21078,-0.051291,-0.19097,0.071918,0.62659,0.85617,0.246,1.0162,-0.041574,-0.21957,-0.22316,0.75233,0.16135,0.14427,-0.034262,0.11322,-0.082706,-0.21086,0.35928,-0.0417,1.2071
106,1,0.2333,0.38946,0.1531,-0.34694,-0.12555,0.15311,0.24526,0.030414,-0.048539,0.087873,0.079215,0.16863,-0.0011828,0.89499,0.067442,-0.11573,-0.33758,0.10101,-0.03894,0.070705,-0.071858,-0.07766,0.074976,0.047447,0.043748,0.12788,-0.08601,-0.17549,0.17766,0.10985,0.14135,-0.013729,-0.011497,0.010011,0.024655,-0.038272,-0.061566,0.057206,0.010077,0.27375,0.032704,0.0041499,0.058492,0.61393,-0.034032,0.13222,0.56158,-0.083107,-0.12963,0.0010258,-0.02048,-0.042555,8.46E-05,-0.25027,-0.15203,-0.089154,0.039516,0.15666,0.30717,0.30283,0.080908,-0.33185,-0.25408,0.7928,0.13539,-0.1725,0.011665,0.28092,0.4037,0.36921,0.034246,0.012118,0.0127,0.25617,0.35581,0.53021,0.67443,1.259,0.21355,-0.025959,-0.17776,0.95772,-0.070256,-0.12924,-0.15026,0.21904,-0.088208,-0.25981,-0.094602,-0.040446,1.0797
106,2,-0.0938,0.18916,0.36066,-0.264,0.012188,0.049337,-0.03783,0.22359,0.45755,0.44219,0.27309,0.29046,0.082751,0.98543,-0.15947,-0.14052,-0.412,0.074256,-0.075826,-0.063508,0.049413,-0.0077169,-0.10758,0.19087,0.17455,0.017894,-0.32642,-0.15422,0.19432,-0.014572,0.17104,0.15405,0.20689,-0.019534,0.27621,0.1296,-0.11494,0.016563,0.085677,0.039116,0.6132,0.76071,0.89844,0.87104,0.22125,0.28436,0.037953,-0.083767,-0.081106,-0.12234,-0.29016,-0.28511,0.097775,-0.30509,-0.20901,0.16456,0.10125,0.16479,-0.037571,0.094322,-0.044407,0.21037,0.010631,0.65901,0.11127,0.041036,0.15742,-0.054583,0.76162,0.59621,0.056798,-0.088475,-0.08116,0.07701,0.53323,0.50596,0.74475,1.029,0.3635,0.25846,0.25097,1.3672,0.34267,0.28331,0.24648,0.46299,0.3499,0.2805,0.040567,0.21573,1.082
106,4,0.20496,0.37356,0.14357,0.15197,0.20981,-0.19709,-0.24628,-0.30399,-0.010436,-0.15637,0.0023868,-0.048054,-0.11918,1.2746,0.029515,0.10475,0.1118,-0.10177,-0.14305,-0.21045,-0.076423,-0.11022,-0.001991,-0.19779,0.033142,0.023146,0.0023977,0.043903,0.024613,-0.070714,-0.33258,-0.067391,-0.17205,-0.02868,-0.018168,0.1261,0.25418,0.15564,-0.34193,-0.36367,0.54394,0.35146,0.67715,1.0727,-0.23519,-0.25668,0.25797,-0.36972,-0.24151,0.23226,0.39485,0.39481,0.27617,-0.32729,-0.13919,-0.10572,-0.11244,-0.029544,-0.050097,0.12486,-0.11676,-0.29437,-0.24992,1.1009,-0.098828,-0.11499,-0.092948,-0.32534,0.779,0.68835,-0.16368,-0.20659,-0.1679,-0.34732,0.54158,0.68198,0.68385,1.1789,0.82607,-0.14476,-0.15569,1.1353,0.57927,0.0053524,0.13692,0.91445,-0.031041,0.034172,-0.15936,-0.18185,1.1399
106,5,0.2544,0.75574,0.18711,0.022554,0.15794,-0.26872,-0.31058,0.18301,-0.081207,0.092158,0.26094,-0.32227,-0.3273,0.92858,-0.085696,-0.11235,-0.026384,-0.18222,0.017903,0.00049693,-0.28853,-0.154,0.035472,0.0059747,0.019288,0.095012,-0.15602,-0.035507,-0.20792,-0.041987,0.20676,-0.21756,0.024427,0.18938,-0.056965,-0.079323,0.13048,0.072007,-0.064764,-0.10243,0.54163,0.4676,0.76639,0.88428,-0.059078,-0.036864,0.14882,0.030706,-0.12961,-0.047911,0.09266,0.073074,-0.066521,-0.099726,-0.14783,0.054624,-0.13387,0.14733,0.27436,0.31715,-0.12922,0.050496,0.025056,1.0603,-0.14353,-0.09726,-0.051229,-0.049829,0.78937,0.77025,-0.14425,-0.1907,-0.15342,-0.017079,0.83811,0.89305,0.52893,1.1376,0.49696,-0.067815,-0.13215,1.092,0.21775,-0.073116,-0.080634,0.48686,-0.051403,-0.051665,-0.0013431,0.065969,1.2973
